analysis_id,parameter,fold_value,infln,seed,class,sample_size,corr_strength,indicator,Significance
p_1_kendall_False_45_FN_50_0.89,p,1,False,45,FN,50,0.89,1.0,p < 0.05
p_1_kendall_False_45_FN_50_0.9,p,1,False,45,FN,50,0.9,1.0,p < 0.05
p_1_kendall_False_45_FN_50_0.91,p,1,False,45,FN,50,0.91,1.0,p < 0.05
p_1_kendall_False_45_FN_50_0.92,p,1,False,45,FN,50,0.92,1.0,p < 0.05
p_1_kendall_False_45_FN_50_0.93,p,1,False,45,FN,50,0.93,1.0,p < 0.05
p_1_kendall_False_45_FN_50_0.94,p,1,False,45,FN,50,0.94,1.0,p < 0.05
p_1_kendall_False_45_FN_50_0.95,p,1,False,45,FN,50,0.95,1.0,p < 0.05
p_1_kendall_False_45_FN_50_0.96,p,1,False,45,FN,50,0.96,1.0,p < 0.05
p_1_kendall_False_45_FN_50_0.97,p,1,False,45,FN,50,0.97,1.0,p < 0.05
p_1_kendall_False_45_FN_50_0.98,p,1,False,45,FN,50,0.98,1.0,p < 0.05
p_1_kendall_False_45_FN_50_0.99,p,1,False,45,FN,50,0.99,1.0,p < 0.05
p_1_kendall_False_45_FN_50_1,p,1,False,45,FN,50,1.0,1.0,p < 0.05
p_1_kendall_False_46_FN_50_0.38,p,1,False,46,FN,50,0.38,0.0,p < 0.05
p_1_kendall_False_46_FN_50_0.39,p,1,False,46,FN,50,0.39,0.0,p < 0.05
p_1_kendall_False_46_FN_50_0.4,p,1,False,46,FN,50,0.4,0.0,p < 0.05
p_1_kendall_False_46_FN_50_0.41,p,1,False,46,FN,50,0.41,0.0,p < 0.05
p_1_kendall_False_46_FN_50_0.42,p,1,False,46,FN,50,0.42,0.0,p < 0.05
p_1_kendall_False_46_FN_50_0.43,p,1,False,46,FN,50,0.43,1.0,p < 0.05
p_1_kendall_False_46_FN_50_0.44,p,1,False,46,FN,50,0.44,1.0,p < 0.05
p_1_kendall_False_46_FN_50_0.45,p,1,False,46,FN,50,0.45,1.0,p < 0.05
p_1_kendall_False_46_FN_50_0.46,p,1,False,46,FN,50,0.46,1.0,p < 0.05
p_1_kendall_False_46_FN_50_0.47,p,1,False,46,FN,50,0.47,1.0,p < 0.05
p_1_kendall_False_46_FN_50_0.48,p,1,False,46,FN,50,0.48,1.0,p < 0.05
p_1_kendall_False_46_FN_50_0.49,p,1,False,46,FN,50,0.49,1.0,p < 0.05
p_1_kendall_False_46_FN_50_0.5,p,1,False,46,FN,50,0.5,1.0,p < 0.05
p_1_kendall_False_46_FN_50_0.51,p,1,False,46,FN,50,0.51,1.0,p < 0.05
p_1_kendall_False_46_FN_50_0.52,p,1,False,46,FN,50,0.52,1.0,p < 0.05
p_1_kendall_False_46_FN_50_0.53,p,1,False,46,FN,50,0.53,1.0,p < 0.05
p_1_kendall_False_46_FN_50_0.54,p,1,False,46,FN,50,0.54,1.0,p < 0.05
p_1_kendall_False_46_FN_50_0.55,p,1,False,46,FN,50,0.55,1.0,p < 0.05
p_1_kendall_False_46_FN_50_0.56,p,1,False,46,FN,50,0.56,1.0,p < 0.05
p_1_kendall_False_46_FN_50_0.57,p,1,False,46,FN,50,0.57,1.0,p < 0.05
p_1_kendall_False_46_FN_50_0.58,p,1,False,46,FN,50,0.58,1.0,p < 0.05
p_1_kendall_False_46_FN_50_0.59,p,1,False,46,FN,50,0.59,1.0,p < 0.05
p_1_kendall_False_46_FN_50_0.6,p,1,False,46,FN,50,0.6,1.0,p < 0.05
p_1_kendall_False_46_FN_50_0.61,p,1,False,46,FN,50,0.61,1.0,p < 0.05
p_1_kendall_False_46_FN_50_0.62,p,1,False,46,FN,50,0.62,1.0,p < 0.05
p_1_kendall_False_46_FN_50_0.63,p,1,False,46,FN,50,0.63,1.0,p < 0.05
p_1_kendall_False_46_FN_50_0.64,p,1,False,46,FN,50,0.64,1.0,p < 0.05
p_1_kendall_False_46_FN_50_0.65,p,1,False,46,FN,50,0.65,1.0,p < 0.05
p_1_kendall_False_46_FN_50_0.66,p,1,False,46,FN,50,0.66,1.0,p < 0.05
p_1_kendall_False_46_FN_50_0.67,p,1,False,46,FN,50,0.67,1.0,p < 0.05
p_1_kendall_False_46_FN_50_0.68,p,1,False,46,FN,50,0.68,1.0,p < 0.05
p_1_kendall_False_46_FN_50_0.69,p,1,False,46,FN,50,0.69,1.0,p < 0.05
p_1_kendall_False_46_FN_50_0.7,p,1,False,46,FN,50,0.7,1.0,p < 0.05
p_1_kendall_False_46_FN_50_0.71,p,1,False,46,FN,50,0.71,1.0,p < 0.05
p_1_kendall_False_46_FN_50_0.72,p,1,False,46,FN,50,0.72,1.0,p < 0.05
p_1_kendall_False_46_FN_50_0.73,p,1,False,46,FN,50,0.73,1.0,p < 0.05
p_1_kendall_False_46_FN_50_0.74,p,1,False,46,FN,50,0.74,1.0,p < 0.05
p_1_kendall_False_46_FN_50_0.75,p,1,False,46,FN,50,0.75,1.0,p < 0.05
p_1_kendall_False_46_FN_50_0.76,p,1,False,46,FN,50,0.76,1.0,p < 0.05
p_1_kendall_False_46_FN_50_0.77,p,1,False,46,FN,50,0.77,1.0,p < 0.05
p_1_kendall_False_46_FN_50_0.78,p,1,False,46,FN,50,0.78,1.0,p < 0.05
p_1_kendall_False_46_FN_50_0.79,p,1,False,46,FN,50,0.79,1.0,p < 0.05
p_1_kendall_False_46_FN_50_0.8,p,1,False,46,FN,50,0.8,1.0,p < 0.05
p_1_kendall_False_46_FN_50_0.81,p,1,False,46,FN,50,0.81,1.0,p < 0.05
p_1_kendall_False_46_FN_50_0.82,p,1,False,46,FN,50,0.82,1.0,p < 0.05
p_1_kendall_False_46_FN_50_0.83,p,1,False,46,FN,50,0.83,1.0,p < 0.05
p_1_kendall_False_46_FN_50_0.84,p,1,False,46,FN,50,0.84,1.0,p < 0.05
p_1_kendall_False_46_FN_50_0.85,p,1,False,46,FN,50,0.85,1.0,p < 0.05
p_1_kendall_False_46_FN_50_0.86,p,1,False,46,FN,50,0.86,1.0,p < 0.05
p_1_kendall_False_46_FN_50_0.87,p,1,False,46,FN,50,0.87,1.0,p < 0.05
p_1_kendall_False_46_FN_50_0.88,p,1,False,46,FN,50,0.88,1.0,p < 0.05
p_1_kendall_False_46_FN_50_0.89,p,1,False,46,FN,50,0.89,1.0,p < 0.05
p_1_kendall_False_46_FN_50_0.9,p,1,False,46,FN,50,0.9,1.0,p < 0.05
p_1_kendall_False_46_FN_50_0.91,p,1,False,46,FN,50,0.91,1.0,p < 0.05
p_1_kendall_False_46_FN_50_0.92,p,1,False,46,FN,50,0.92,1.0,p < 0.05
p_1_kendall_False_46_FN_50_0.93,p,1,False,46,FN,50,0.93,1.0,p < 0.05
p_1_kendall_False_46_FN_50_0.94,p,1,False,46,FN,50,0.94,1.0,p < 0.05
p_1_kendall_False_46_FN_50_0.95,p,1,False,46,FN,50,0.95,1.0,p < 0.05
p_1_kendall_False_46_FN_50_0.96,p,1,False,46,FN,50,0.96,1.0,p < 0.05
p_1_kendall_False_46_FN_50_0.97,p,1,False,46,FN,50,0.97,1.0,p < 0.05
p_1_kendall_False_46_FN_50_0.98,p,1,False,46,FN,50,0.98,1.0,p < 0.05
p_1_kendall_False_46_FN_50_0.99,p,1,False,46,FN,50,0.99,1.0,p < 0.05
p_1_kendall_False_46_FN_50_1,p,1,False,46,FN,50,1.0,1.0,p < 0.05
p_1_kendall_False_47_FN_50_0.36,p,1,False,47,FN,50,0.36,0.0,p < 0.05
p_1_kendall_False_47_FN_50_0.37,p,1,False,47,FN,50,0.37,0.0,p < 0.05
p_1_kendall_False_47_FN_50_0.38,p,1,False,47,FN,50,0.38,0.0,p < 0.05
p_1_kendall_False_47_FN_50_0.39,p,1,False,47,FN,50,0.39,0.0,p < 0.05
p_1_kendall_False_47_FN_50_0.4,p,1,False,47,FN,50,0.4,1.0,p < 0.05
p_1_kendall_False_47_FN_50_0.41,p,1,False,47,FN,50,0.41,1.0,p < 0.05
p_1_kendall_False_47_FN_50_0.42,p,1,False,47,FN,50,0.42,1.0,p < 0.05
p_1_kendall_False_47_FN_50_0.43,p,1,False,47,FN,50,0.43,1.0,p < 0.05
p_1_kendall_False_47_FN_50_0.44,p,1,False,47,FN,50,0.44,1.0,p < 0.05
p_1_kendall_False_47_FN_50_0.45,p,1,False,47,FN,50,0.45,1.0,p < 0.05
p_1_kendall_False_47_FN_50_0.46,p,1,False,47,FN,50,0.46,1.0,p < 0.05
p_1_kendall_False_47_FN_50_0.47,p,1,False,47,FN,50,0.47,1.0,p < 0.05
p_1_kendall_False_47_FN_50_0.48,p,1,False,47,FN,50,0.48,1.0,p < 0.05
p_1_kendall_False_47_FN_50_0.49,p,1,False,47,FN,50,0.49,1.0,p < 0.05
p_1_kendall_False_47_FN_50_0.5,p,1,False,47,FN,50,0.5,1.0,p < 0.05
p_1_kendall_False_47_FN_50_0.51,p,1,False,47,FN,50,0.51,1.0,p < 0.05
p_1_kendall_False_47_FN_50_0.52,p,1,False,47,FN,50,0.52,1.0,p < 0.05
p_1_kendall_False_47_FN_50_0.53,p,1,False,47,FN,50,0.53,1.0,p < 0.05
p_1_kendall_False_47_FN_50_0.54,p,1,False,47,FN,50,0.54,1.0,p < 0.05
p_1_kendall_False_47_FN_50_0.55,p,1,False,47,FN,50,0.55,1.0,p < 0.05
p_1_kendall_False_47_FN_50_0.56,p,1,False,47,FN,50,0.56,1.0,p < 0.05
p_1_kendall_False_47_FN_50_0.57,p,1,False,47,FN,50,0.57,1.0,p < 0.05
p_1_kendall_False_47_FN_50_0.58,p,1,False,47,FN,50,0.58,1.0,p < 0.05
p_1_kendall_False_47_FN_50_0.59,p,1,False,47,FN,50,0.59,1.0,p < 0.05
p_1_kendall_False_47_FN_50_0.6,p,1,False,47,FN,50,0.6,1.0,p < 0.05
p_1_kendall_False_47_FN_50_0.61,p,1,False,47,FN,50,0.61,1.0,p < 0.05
p_1_kendall_False_47_FN_50_0.62,p,1,False,47,FN,50,0.62,1.0,p < 0.05
p_1_kendall_False_47_FN_50_0.63,p,1,False,47,FN,50,0.63,1.0,p < 0.05
p_1_kendall_False_47_FN_50_0.64,p,1,False,47,FN,50,0.64,1.0,p < 0.05
p_1_kendall_False_47_FN_50_0.65,p,1,False,47,FN,50,0.65,1.0,p < 0.05
p_1_kendall_False_47_FN_50_0.66,p,1,False,47,FN,50,0.66,1.0,p < 0.05
p_1_kendall_False_47_FN_50_0.67,p,1,False,47,FN,50,0.67,1.0,p < 0.05
p_1_kendall_False_47_FN_50_0.68,p,1,False,47,FN,50,0.68,1.0,p < 0.05
p_1_kendall_False_47_FN_50_0.69,p,1,False,47,FN,50,0.69,1.0,p < 0.05
p_1_kendall_False_47_FN_50_0.7,p,1,False,47,FN,50,0.7,1.0,p < 0.05
p_1_kendall_False_47_FN_50_0.71,p,1,False,47,FN,50,0.71,1.0,p < 0.05
p_1_kendall_False_47_FN_50_0.72,p,1,False,47,FN,50,0.72,1.0,p < 0.05
p_1_kendall_False_47_FN_50_0.73,p,1,False,47,FN,50,0.73,1.0,p < 0.05
p_1_kendall_False_47_FN_50_0.74,p,1,False,47,FN,50,0.74,1.0,p < 0.05
p_1_kendall_False_47_FN_50_0.75,p,1,False,47,FN,50,0.75,1.0,p < 0.05
p_1_kendall_False_47_FN_50_0.76,p,1,False,47,FN,50,0.76,1.0,p < 0.05
p_1_kendall_False_47_FN_50_0.77,p,1,False,47,FN,50,0.77,1.0,p < 0.05
p_1_kendall_False_47_FN_50_0.78,p,1,False,47,FN,50,0.78,1.0,p < 0.05
p_1_kendall_False_47_FN_50_0.79,p,1,False,47,FN,50,0.79,1.0,p < 0.05
p_1_kendall_False_47_FN_50_0.8,p,1,False,47,FN,50,0.8,1.0,p < 0.05
p_1_kendall_False_47_FN_50_0.81,p,1,False,47,FN,50,0.81,1.0,p < 0.05
p_1_kendall_False_47_FN_50_0.82,p,1,False,47,FN,50,0.82,1.0,p < 0.05
p_1_kendall_False_47_FN_50_0.83,p,1,False,47,FN,50,0.83,1.0,p < 0.05
p_1_kendall_False_47_FN_50_0.84,p,1,False,47,FN,50,0.84,1.0,p < 0.05
p_1_kendall_False_47_FN_50_0.85,p,1,False,47,FN,50,0.85,1.0,p < 0.05
p_1_kendall_False_47_FN_50_0.86,p,1,False,47,FN,50,0.86,1.0,p < 0.05
p_1_kendall_False_47_FN_50_0.87,p,1,False,47,FN,50,0.87,1.0,p < 0.05
p_1_kendall_False_47_FN_50_0.88,p,1,False,47,FN,50,0.88,1.0,p < 0.05
p_1_kendall_False_47_FN_50_0.89,p,1,False,47,FN,50,0.89,1.0,p < 0.05
p_1_kendall_False_47_FN_50_0.9,p,1,False,47,FN,50,0.9,1.0,p < 0.05
p_1_kendall_False_47_FN_50_0.91,p,1,False,47,FN,50,0.91,1.0,p < 0.05
p_1_kendall_False_47_FN_50_0.92,p,1,False,47,FN,50,0.92,1.0,p < 0.05
p_1_kendall_False_47_FN_50_0.93,p,1,False,47,FN,50,0.93,1.0,p < 0.05
p_1_kendall_False_47_FN_50_0.94,p,1,False,47,FN,50,0.94,1.0,p < 0.05
p_1_kendall_False_47_FN_50_0.95,p,1,False,47,FN,50,0.95,1.0,p < 0.05
p_1_kendall_False_47_FN_50_0.96,p,1,False,47,FN,50,0.96,1.0,p < 0.05
p_1_kendall_False_47_FN_50_0.97,p,1,False,47,FN,50,0.97,1.0,p < 0.05
p_1_kendall_False_47_FN_50_0.98,p,1,False,47,FN,50,0.98,1.0,p < 0.05
p_1_kendall_False_47_FN_50_0.99,p,1,False,47,FN,50,0.99,1.0,p < 0.05
p_1_kendall_False_47_FN_50_1,p,1,False,47,FN,50,1.0,1.0,p < 0.05
p_1_kendall_False_48_FN_50_0.43,p,1,False,48,FN,50,0.43,0.0,p < 0.05
p_1_kendall_False_48_FN_50_0.44,p,1,False,48,FN,50,0.44,0.0,p < 0.05
p_1_kendall_False_48_FN_50_0.45,p,1,False,48,FN,50,0.45,0.0,p < 0.05
p_1_kendall_False_48_FN_50_0.46,p,1,False,48,FN,50,0.46,0.0,p < 0.05
p_1_kendall_False_48_FN_50_0.47,p,1,False,48,FN,50,0.47,0.0,p < 0.05
p_1_kendall_False_48_FN_50_0.48,p,1,False,48,FN,50,0.48,0.0,p < 0.05
p_1_kendall_False_48_FN_50_0.49,p,1,False,48,FN,50,0.49,1.0,p < 0.05
p_1_kendall_False_48_FN_50_0.5,p,1,False,48,FN,50,0.5,1.0,p < 0.05
p_1_kendall_False_48_FN_50_0.51,p,1,False,48,FN,50,0.51,1.0,p < 0.05
p_1_kendall_False_48_FN_50_0.52,p,1,False,48,FN,50,0.52,1.0,p < 0.05
p_1_kendall_False_48_FN_50_0.53,p,1,False,48,FN,50,0.53,1.0,p < 0.05
p_1_kendall_False_48_FN_50_0.54,p,1,False,48,FN,50,0.54,1.0,p < 0.05
p_1_kendall_False_48_FN_50_0.55,p,1,False,48,FN,50,0.55,1.0,p < 0.05
p_1_kendall_False_48_FN_50_0.56,p,1,False,48,FN,50,0.56,1.0,p < 0.05
p_1_kendall_False_48_FN_50_0.57,p,1,False,48,FN,50,0.57,1.0,p < 0.05
p_1_kendall_False_48_FN_50_0.58,p,1,False,48,FN,50,0.58,1.0,p < 0.05
p_1_kendall_False_48_FN_50_0.59,p,1,False,48,FN,50,0.59,1.0,p < 0.05
p_1_kendall_False_48_FN_50_0.6,p,1,False,48,FN,50,0.6,1.0,p < 0.05
p_1_kendall_False_48_FN_50_0.61,p,1,False,48,FN,50,0.61,1.0,p < 0.05
p_1_kendall_False_48_FN_50_0.62,p,1,False,48,FN,50,0.62,1.0,p < 0.05
p_1_kendall_False_48_FN_50_0.63,p,1,False,48,FN,50,0.63,1.0,p < 0.05
p_1_kendall_False_48_FN_50_0.64,p,1,False,48,FN,50,0.64,1.0,p < 0.05
p_1_kendall_False_48_FN_50_0.65,p,1,False,48,FN,50,0.65,1.0,p < 0.05
p_1_kendall_False_48_FN_50_0.66,p,1,False,48,FN,50,0.66,1.0,p < 0.05
p_1_kendall_False_48_FN_50_0.67,p,1,False,48,FN,50,0.67,1.0,p < 0.05
p_1_kendall_False_48_FN_50_0.68,p,1,False,48,FN,50,0.68,1.0,p < 0.05
p_1_kendall_False_48_FN_50_0.69,p,1,False,48,FN,50,0.69,1.0,p < 0.05
p_1_kendall_False_48_FN_50_0.7,p,1,False,48,FN,50,0.7,1.0,p < 0.05
p_1_kendall_False_48_FN_50_0.71,p,1,False,48,FN,50,0.71,1.0,p < 0.05
p_1_kendall_False_48_FN_50_0.72,p,1,False,48,FN,50,0.72,1.0,p < 0.05
p_1_kendall_False_48_FN_50_0.73,p,1,False,48,FN,50,0.73,1.0,p < 0.05
p_1_kendall_False_48_FN_50_0.74,p,1,False,48,FN,50,0.74,1.0,p < 0.05
p_1_kendall_False_48_FN_50_0.75,p,1,False,48,FN,50,0.75,1.0,p < 0.05
p_1_kendall_False_48_FN_50_0.76,p,1,False,48,FN,50,0.76,1.0,p < 0.05
p_1_kendall_False_48_FN_50_0.77,p,1,False,48,FN,50,0.77,1.0,p < 0.05
p_1_kendall_False_48_FN_50_0.78,p,1,False,48,FN,50,0.78,1.0,p < 0.05
p_1_kendall_False_48_FN_50_0.79,p,1,False,48,FN,50,0.79,1.0,p < 0.05
p_1_kendall_False_48_FN_50_0.8,p,1,False,48,FN,50,0.8,1.0,p < 0.05
p_1_kendall_False_48_FN_50_0.81,p,1,False,48,FN,50,0.81,1.0,p < 0.05
p_1_kendall_False_48_FN_50_0.82,p,1,False,48,FN,50,0.82,1.0,p < 0.05
p_1_kendall_False_48_FN_50_0.83,p,1,False,48,FN,50,0.83,1.0,p < 0.05
p_1_kendall_False_48_FN_50_0.84,p,1,False,48,FN,50,0.84,1.0,p < 0.05
p_1_kendall_False_48_FN_50_0.85,p,1,False,48,FN,50,0.85,1.0,p < 0.05
p_1_kendall_False_48_FN_50_0.86,p,1,False,48,FN,50,0.86,1.0,p < 0.05
p_1_kendall_False_48_FN_50_0.87,p,1,False,48,FN,50,0.87,1.0,p < 0.05
p_1_kendall_False_48_FN_50_0.88,p,1,False,48,FN,50,0.88,1.0,p < 0.05
p_1_kendall_False_48_FN_50_0.89,p,1,False,48,FN,50,0.89,1.0,p < 0.05
p_1_kendall_False_48_FN_50_0.9,p,1,False,48,FN,50,0.9,1.0,p < 0.05
p_1_kendall_False_48_FN_50_0.91,p,1,False,48,FN,50,0.91,1.0,p < 0.05
p_1_kendall_False_48_FN_50_0.92,p,1,False,48,FN,50,0.92,1.0,p < 0.05
p_1_kendall_False_48_FN_50_0.93,p,1,False,48,FN,50,0.93,1.0,p < 0.05
p_1_kendall_False_48_FN_50_0.94,p,1,False,48,FN,50,0.94,1.0,p < 0.05
p_1_kendall_False_48_FN_50_0.95,p,1,False,48,FN,50,0.95,1.0,p < 0.05
p_1_kendall_False_48_FN_50_0.96,p,1,False,48,FN,50,0.96,1.0,p < 0.05
p_1_kendall_False_48_FN_50_0.97,p,1,False,48,FN,50,0.97,1.0,p < 0.05
p_1_kendall_False_48_FN_50_0.98,p,1,False,48,FN,50,0.98,1.0,p < 0.05
p_1_kendall_False_48_FN_50_0.99,p,1,False,48,FN,50,0.99,1.0,p < 0.05
p_1_kendall_False_48_FN_50_1,p,1,False,48,FN,50,1.0,1.0,p < 0.05
p_1_kendall_False_49_FN_50_0.39,p,1,False,49,FN,50,0.39,0.0,p < 0.05
p_1_kendall_False_49_FN_50_0.4,p,1,False,49,FN,50,0.4,0.0,p < 0.05
p_1_kendall_False_49_FN_50_0.41,p,1,False,49,FN,50,0.41,0.0,p < 0.05
p_1_kendall_False_49_FN_50_0.42,p,1,False,49,FN,50,0.42,0.0,p < 0.05
p_1_kendall_False_49_FN_50_0.43,p,1,False,49,FN,50,0.43,1.0,p < 0.05
p_1_kendall_False_49_FN_50_0.44,p,1,False,49,FN,50,0.44,1.0,p < 0.05
p_1_kendall_False_49_FN_50_0.45,p,1,False,49,FN,50,0.45,1.0,p < 0.05
p_1_kendall_False_49_FN_50_0.46,p,1,False,49,FN,50,0.46,1.0,p < 0.05
p_1_kendall_False_49_FN_50_0.47,p,1,False,49,FN,50,0.47,1.0,p < 0.05
p_1_kendall_False_49_FN_50_0.48,p,1,False,49,FN,50,0.48,1.0,p < 0.05
p_1_kendall_False_49_FN_50_0.49,p,1,False,49,FN,50,0.49,1.0,p < 0.05
p_1_kendall_False_49_FN_50_0.5,p,1,False,49,FN,50,0.5,1.0,p < 0.05
p_1_kendall_False_49_FN_50_0.51,p,1,False,49,FN,50,0.51,1.0,p < 0.05
p_1_kendall_False_49_FN_50_0.52,p,1,False,49,FN,50,0.52,1.0,p < 0.05
p_1_kendall_False_49_FN_50_0.53,p,1,False,49,FN,50,0.53,1.0,p < 0.05
p_1_kendall_False_49_FN_50_0.54,p,1,False,49,FN,50,0.54,1.0,p < 0.05
p_1_kendall_False_49_FN_50_0.55,p,1,False,49,FN,50,0.55,1.0,p < 0.05
p_1_kendall_False_49_FN_50_0.56,p,1,False,49,FN,50,0.56,1.0,p < 0.05
p_1_kendall_False_49_FN_50_0.57,p,1,False,49,FN,50,0.57,1.0,p < 0.05
p_1_kendall_False_49_FN_50_0.58,p,1,False,49,FN,50,0.58,1.0,p < 0.05
p_1_kendall_False_49_FN_50_0.59,p,1,False,49,FN,50,0.59,1.0,p < 0.05
p_1_kendall_False_49_FN_50_0.6,p,1,False,49,FN,50,0.6,1.0,p < 0.05
p_1_kendall_False_49_FN_50_0.61,p,1,False,49,FN,50,0.61,1.0,p < 0.05
p_1_kendall_False_49_FN_50_0.62,p,1,False,49,FN,50,0.62,1.0,p < 0.05
p_1_kendall_False_49_FN_50_0.63,p,1,False,49,FN,50,0.63,1.0,p < 0.05
p_1_kendall_False_49_FN_50_0.64,p,1,False,49,FN,50,0.64,1.0,p < 0.05
p_1_kendall_False_49_FN_50_0.65,p,1,False,49,FN,50,0.65,1.0,p < 0.05
p_1_kendall_False_49_FN_50_0.66,p,1,False,49,FN,50,0.66,1.0,p < 0.05
p_1_kendall_False_49_FN_50_0.67,p,1,False,49,FN,50,0.67,1.0,p < 0.05
p_1_kendall_False_49_FN_50_0.68,p,1,False,49,FN,50,0.68,1.0,p < 0.05
p_1_kendall_False_49_FN_50_0.69,p,1,False,49,FN,50,0.69,1.0,p < 0.05
p_1_kendall_False_49_FN_50_0.7,p,1,False,49,FN,50,0.7,1.0,p < 0.05
p_1_kendall_False_49_FN_50_0.71,p,1,False,49,FN,50,0.71,1.0,p < 0.05
p_1_kendall_False_49_FN_50_0.72,p,1,False,49,FN,50,0.72,1.0,p < 0.05
p_1_kendall_False_49_FN_50_0.73,p,1,False,49,FN,50,0.73,1.0,p < 0.05
p_1_kendall_False_49_FN_50_0.74,p,1,False,49,FN,50,0.74,1.0,p < 0.05
p_1_kendall_False_49_FN_50_0.75,p,1,False,49,FN,50,0.75,1.0,p < 0.05
p_1_kendall_False_49_FN_50_0.76,p,1,False,49,FN,50,0.76,1.0,p < 0.05
p_1_kendall_False_49_FN_50_0.77,p,1,False,49,FN,50,0.77,1.0,p < 0.05
p_1_kendall_False_49_FN_50_0.78,p,1,False,49,FN,50,0.78,1.0,p < 0.05
p_1_kendall_False_49_FN_50_0.79,p,1,False,49,FN,50,0.79,1.0,p < 0.05
p_1_kendall_False_49_FN_50_0.8,p,1,False,49,FN,50,0.8,1.0,p < 0.05
p_1_kendall_False_49_FN_50_0.81,p,1,False,49,FN,50,0.81,1.0,p < 0.05
p_1_kendall_False_49_FN_50_0.82,p,1,False,49,FN,50,0.82,1.0,p < 0.05
p_1_kendall_False_49_FN_50_0.83,p,1,False,49,FN,50,0.83,1.0,p < 0.05
p_1_kendall_False_49_FN_50_0.84,p,1,False,49,FN,50,0.84,1.0,p < 0.05
p_1_kendall_False_49_FN_50_0.85,p,1,False,49,FN,50,0.85,1.0,p < 0.05
p_1_kendall_False_49_FN_50_0.86,p,1,False,49,FN,50,0.86,1.0,p < 0.05
p_1_kendall_False_49_FN_50_0.87,p,1,False,49,FN,50,0.87,1.0,p < 0.05
p_1_kendall_False_49_FN_50_0.88,p,1,False,49,FN,50,0.88,1.0,p < 0.05
p_1_kendall_False_49_FN_50_0.89,p,1,False,49,FN,50,0.89,1.0,p < 0.05
p_1_kendall_False_49_FN_50_0.9,p,1,False,49,FN,50,0.9,1.0,p < 0.05
p_1_kendall_False_49_FN_50_0.91,p,1,False,49,FN,50,0.91,1.0,p < 0.05
p_1_kendall_False_49_FN_50_0.92,p,1,False,49,FN,50,0.92,1.0,p < 0.05
p_1_kendall_False_49_FN_50_0.93,p,1,False,49,FN,50,0.93,1.0,p < 0.05
p_1_kendall_False_49_FN_50_0.94,p,1,False,49,FN,50,0.94,1.0,p < 0.05
p_1_kendall_False_49_FN_50_0.95,p,1,False,49,FN,50,0.95,1.0,p < 0.05
p_1_kendall_False_49_FN_50_0.96,p,1,False,49,FN,50,0.96,1.0,p < 0.05
p_1_kendall_False_49_FN_50_0.97,p,1,False,49,FN,50,0.97,1.0,p < 0.05
p_1_kendall_False_49_FN_50_0.98,p,1,False,49,FN,50,0.98,1.0,p < 0.05
p_1_kendall_False_49_FN_50_0.99,p,1,False,49,FN,50,0.99,1.0,p < 0.05
p_1_kendall_False_49_FN_50_1,p,1,False,49,FN,50,1.0,1.0,p < 0.05
p_1_kendall_False_50_FN_50_0.31,p,1,False,50,FN,50,0.31,0.0,p < 0.05
p_1_kendall_False_50_FN_50_0.32,p,1,False,50,FN,50,0.32,0.0,p < 0.05
p_1_kendall_False_50_FN_50_0.33,p,1,False,50,FN,50,0.33,0.0,p < 0.05
p_1_kendall_False_50_FN_50_0.34,p,1,False,50,FN,50,0.34,0.0,p < 0.05
p_1_kendall_False_50_FN_50_0.35,p,1,False,50,FN,50,0.35,0.0,p < 0.05
p_1_kendall_False_50_FN_50_0.36,p,1,False,50,FN,50,0.36,1.0,p < 0.05
p_1_kendall_False_50_FN_50_0.37,p,1,False,50,FN,50,0.37,1.0,p < 0.05
p_1_kendall_False_50_FN_50_0.38,p,1,False,50,FN,50,0.38,1.0,p < 0.05
p_1_kendall_False_50_FN_50_0.39,p,1,False,50,FN,50,0.39,1.0,p < 0.05
p_1_kendall_False_50_FN_50_0.4,p,1,False,50,FN,50,0.4,1.0,p < 0.05
p_1_kendall_False_50_FN_50_0.41,p,1,False,50,FN,50,0.41,1.0,p < 0.05
p_1_kendall_False_50_FN_50_0.42,p,1,False,50,FN,50,0.42,1.0,p < 0.05
p_1_kendall_False_50_FN_50_0.43,p,1,False,50,FN,50,0.43,1.0,p < 0.05
p_1_kendall_False_50_FN_50_0.44,p,1,False,50,FN,50,0.44,1.0,p < 0.05
p_1_kendall_False_50_FN_50_0.45,p,1,False,50,FN,50,0.45,1.0,p < 0.05
p_1_kendall_False_50_FN_50_0.46,p,1,False,50,FN,50,0.46,1.0,p < 0.05
p_1_kendall_False_50_FN_50_0.47,p,1,False,50,FN,50,0.47,1.0,p < 0.05
p_1_kendall_False_50_FN_50_0.48,p,1,False,50,FN,50,0.48,1.0,p < 0.05
p_1_kendall_False_50_FN_50_0.49,p,1,False,50,FN,50,0.49,1.0,p < 0.05
p_1_kendall_False_50_FN_50_0.5,p,1,False,50,FN,50,0.5,1.0,p < 0.05
p_1_kendall_False_50_FN_50_0.51,p,1,False,50,FN,50,0.51,1.0,p < 0.05
p_1_kendall_False_50_FN_50_0.52,p,1,False,50,FN,50,0.52,1.0,p < 0.05
p_1_kendall_False_50_FN_50_0.53,p,1,False,50,FN,50,0.53,1.0,p < 0.05
p_1_kendall_False_50_FN_50_0.54,p,1,False,50,FN,50,0.54,1.0,p < 0.05
p_1_kendall_False_50_FN_50_0.55,p,1,False,50,FN,50,0.55,1.0,p < 0.05
